time,AHL,LasR_mRNA,LasR,GFP_mRNA,GFP,LasR.AHL,IPTG_LasR
1535.6,1e-09,10.728373609,4345.1915136,1.17517631406e-05,0.00034353340128,60.108631226,-7.09868745161e-05
1535.7,1e-09,10.7283744521,4345.32580185,1.17517641177e-05,0.000343533614821,60.1155836399,-7.0990559368e-05
1535.8,1e-09,10.7283752947,4345.46007457,1.17517650942e-05,0.000343533828249,60.1225362686,-7.09942440446e-05
1535.9,1e-09,10.7283761368,4345.59433177,1.17517660702e-05,0.000343534041564,60.1294891121,-7.09979285461e-05
1536.0,1e-09,10.7283769784,4345.72857345,1.17517670456e-05,0.000343534254767,60.1364421704,-7.10016128724e-05
1536.1,1e-09,10.7283778195,4345.86279961,1.17517680204e-05,0.000343534467857,60.1433954435,-7.10052970236e-05
1536.2,1e-09,10.7283786601,4345.99701024,1.17517689947e-05,0.000343534680834,60.1503489314,-7.10089809997e-05
1536.3,1e-09,10.7283795002,4346.13120536,1.17517699684e-05,0.000343534893699,60.157302634,-7.10126648006e-05
1536.4,1e-09,10.7283803399,4346.26538496,1.17517709415e-05,0.000343535106452,60.1642565512,-7.10163484265e-05
1536.5,1e-09,10.728381179,4346.39954905,1.17517719141e-05,0.000343535319092,60.1712106832,-7.10200318773e-05
1536.6,1e-09,10.7283820177,4346.53369763,1.17517728861e-05,0.00034353553162,60.1781650298,-7.10237151531e-05
1536.7,1e-09,10.7283828559,4346.66783069,1.17517738575e-05,0.000343535744036,60.185119591,-7.10273982538e-05
1536.8,1e-09,10.7283836936,4346.80194825,1.17517748284e-05,0.000343535956339,60.1920743668,-7.10310811795e-05
1536.9,1e-09,10.7283845308,4346.9360503,1.17517757987e-05,0.00034353616853,60.1990293572,-7.10347639302e-05
1537.0,1e-09,10.7283853675,4347.07013685,1.17517767685e-05,0.00034353638061,60.2059845622,-7.10384465058e-05
1537.1,1e-09,10.7283862038,4347.20420789,1.17517777377e-05,0.000343536592577,60.2129399817,-7.10421289065e-05
1537.2,1e-09,10.7283870395,4347.33826343,1.17517787063e-05,0.000343536804432,60.2198956156,-7.10458111323e-05
1537.3,1e-09,10.7283878748,4347.47230347,1.17517796744e-05,0.000343537016175,60.2268514641,-7.10494931831e-05
1537.4,1e-09,10.7283887096,4347.60632801,1.17517806419e-05,0.000343537227807,60.233807527,-7.1053175059e-05
1537.5,1e-09,10.7283895439,4347.74033706,1.17517816089e-05,0.000343537439326,60.2407638043,-7.10568567599e-05
1537.6,1e-09,10.7283903777,4347.87433061,1.17517825752e-05,0.000343537650734,60.2477202961,-7.1060538286e-05
1537.7,1e-09,10.7283912111,4348.00830867,1.17517835411e-05,0.00034353786203,60.2546770022,-7.10642196371e-05
1537.8,1e-09,10.7283920439,4348.14227124,1.17517845063e-05,0.000343538073215,60.2616339227,-7.10679008135e-05
1537.9,1e-09,10.7283928763,4348.27621832,1.1751785471e-05,0.000343538284288,60.2685910574,-7.10715818149e-05
