time,ribA,ribD1,ribD2,E1,ribH,ribE,E2,GTP,C01304,C01268,C04454,C04732,C04332,riboflavin,FMN
4.0,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999996e-07,3.99600398801e-18,7.99200794941e-27,1.06560106028e-35,1.06560106049e-44,8.52480515503e-54,5.68319261472e-63,3.24752054978e-72
4.1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999996e-07,4.09590408751e-18,8.39660335072e-27,1.14753579166e-35,1.17622418669e-44,9.64503491891e-54,6.59076248439e-63,3.86028423881e-72
4.2,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999996e-07,4.19580418699e-18,8.81118876187e-27,1.23356642709e-35,1.29524474872e-44,1.08800523943e-53,7.61602473035e-63,4.56959384944e-72
4.3,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999996e-07,4.29570428647e-18,9.23576418284e-27,1.32379286668e-35,1.42307733199e-44,1.22384614771e-53,8.77088486367e-63,5.38780672426e-72
4.4,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999996e-07,4.39560438593e-18,9.67032961363e-27,1.41831501052e-35,1.56014651191e-44,1.37292856438e-53,1.00681296808e-62,6.32851447155e-72
4.5,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999996e-07,4.49550448539e-18,1.01148850542e-26,1.5172327587e-35,1.70688685392e-44,1.53619779414e-53,1.1521469721e-62,7.40663320844e-72
4.6,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999995e-07,4.59540458484e-18,1.05694305046e-26,1.62064601133e-35,1.86374291346e-44,1.71464309769e-53,1.31455827231e-62,8.63849809963e-72
4.7,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999995e-07,4.69530468427e-18,1.10339659649e-26,1.7286546685e-35,2.03116923597e-44,1.90929869083e-53,1.4956158081e-62,1.00419622919e-71
4.8,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999995e-07,4.7952047837e-18,1.15084914349e-26,1.84135863031e-35,2.20963035691e-44,2.12124474337e-53,1.69699422979e-62,1.16365003438e-71
4.9,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999995e-07,4.89510488311e-18,1.19930069147e-26,1.95885779686e-35,2.39960080175e-44,2.35160837817e-53,1.92047854403e-62,1.34433162512e-71
5.0,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999995e-07,4.99500498252e-18,1.24875124043e-26,2.08125206825e-35,2.60156508596e-44,2.60156467014e-53,2.16796885902e-62,1.54854561677e-71
5.1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999995e-07,5.09490508191e-18,1.29920079037e-26,2.20864134457e-35,2.81601771504e-44,2.87233764525e-53,2.4414852297e-62,1.77879259208e-71
5.2,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999995e-07,5.1948051813e-18,1.35064934129e-26,2.34112552591e-35,3.04346318448e-44,3.1652012795e-53,2.74317260275e-62,2.03778134222e-71
5.3,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999995e-07,5.29470528067e-18,1.40309689319e-26,2.47880451239e-35,3.28441597978e-44,3.48148049796e-53,3.07530586161e-62,2.32844160743e-71
5.4,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999995e-07,5.39460538004e-18,1.45654344606e-26,2.62177820409e-35,3.53940057647e-44,3.82255217373e-53,3.44029497128e-62,2.65393732708e-71
5.5,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999995e-07,5.4945054794e-18,1.51098899991e-26,2.77014650111e-35,3.80895144007e-44,4.18984612697e-53,3.84069022312e-62,3.01768040923e-71
