time,hexokinase,glucose,glucose6phosphate,phosphoglucoisomerase,fructose6phosphate,phosphoglucoisomerase2,glucose6phosphatereversible
1761.5,1e-09,9.99999998239e-07,1.75974025974e-15,1e-06,1.54897977245e-18,1e-06,9.09643048456e-22
1761.6,1e-09,9.99999998239e-07,1.75984015984e-15,1e-06,1.54915559625e-18,1e-06,9.09797955224e-22
1761.7,1e-09,9.99999998239e-07,1.75994005994e-15,1e-06,1.54933143003e-18,1e-06,9.09952879575e-22
1761.8,1e-09,9.99999998239e-07,1.76003996004e-15,1e-06,1.54950727378e-18,1e-06,9.1010782151e-22
1761.9,1e-09,9.99999998239e-07,1.76013986014e-15,1e-06,1.5496831275e-18,1e-06,9.1026278103e-22
1762.0,1e-09,9.99999998239e-07,1.76023976024e-15,1e-06,1.54985899119e-18,1e-06,9.10417758135e-22
1762.1,1e-09,9.99999998239e-07,1.76033966034e-15,1e-06,1.55003486486e-18,1e-06,9.10572752828e-22
1762.2,1e-09,9.99999998239e-07,1.76043956044e-15,1e-06,1.5502107485e-18,1e-06,9.10727765108e-22
1762.3,1e-09,9.99999998239e-07,1.76053946054e-15,1e-06,1.55038664211e-18,1e-06,9.10882794977e-22
1762.4,1e-09,9.99999998238e-07,1.76063936064e-15,1e-06,1.5505625457e-18,1e-06,9.11037842436e-22
1762.5,1e-09,9.99999998238e-07,1.76073926074e-15,1e-06,1.55073845925e-18,1e-06,9.11192907486e-22
1762.6,1e-09,9.99999998238e-07,1.76083916084e-15,1e-06,1.55091438278e-18,1e-06,9.11347990128e-22
1762.7,1e-09,9.99999998238e-07,1.76093906094e-15,1e-06,1.55109031628e-18,1e-06,9.11503090363e-22
1762.8,1e-09,9.99999998238e-07,1.76103896104e-15,1e-06,1.55126625975e-18,1e-06,9.11658208191e-22
1762.9,1e-09,9.99999998238e-07,1.76113886114e-15,1e-06,1.5514422132e-18,1e-06,9.11813343615e-22
1763.0,1e-09,9.99999998238e-07,1.76123876124e-15,1e-06,1.55161817662e-18,1e-06,9.11968496634e-22
1763.1,1e-09,9.99999998238e-07,1.76133866134e-15,1e-06,1.55179415001e-18,1e-06,9.1212366725e-22
1763.2,1e-09,9.99999998238e-07,1.76143856144e-15,1e-06,1.55197013337e-18,1e-06,9.12278855464e-22
1763.3,1e-09,9.99999998238e-07,1.76153846154e-15,1e-06,1.5521461267e-18,1e-06,9.12434061276e-22
1763.4,1e-09,9.99999998237e-07,1.76163836164e-15,1e-06,1.55232213001e-18,1e-06,9.12589284689e-22
1763.5,1e-09,9.99999998237e-07,1.76173826174e-15,1e-06,1.55249814329e-18,1e-06,9.12744525702e-22
1763.6,1e-09,9.99999998237e-07,1.76183816184e-15,1e-06,1.55267416654e-18,1e-06,9.12899784317e-22
1763.7,1e-09,9.99999998237e-07,1.76193806194e-15,1e-06,1.55285019977e-18,1e-06,9.13055060535e-22
1763.8,1e-09,9.99999998237e-07,1.76203796204e-15,1e-06,1.55302624297e-18,1e-06,9.13210354357e-22
1763.9,1e-09,9.99999998237e-07,1.76213786214e-15,1e-06,1.55320229614e-18,1e-06,9.13365665784e-22
1764.0,1e-09,9.99999998237e-07,1.76223776224e-15,1e-06,1.55337835928e-18,1e-06,9.13520994816e-22
1764.1,1e-09,9.99999998237e-07,1.76233766234e-15,1e-06,1.55355443239e-18,1e-06,9.13676341455e-22
1764.2,1e-09,9.99999998237e-07,1.76243756244e-15,1e-06,1.55373051548e-18,1e-06,9.13831705702e-22
1764.3,1e-09,9.99999998237e-07,1.76253746254e-15,1e-06,1.55390660854e-18,1e-06,9.13987087558e-22
1764.4,1e-09,9.99999998236e-07,1.76263736264e-15,1e-06,1.55408271157e-18,1e-06,9.14142487024e-22
1764.5,1e-09,9.99999998236e-07,1.76273726274e-15,1e-06,1.55425882457e-18,1e-06,9.14297904101e-22
1764.6,1e-09,9.99999998236e-07,1.76283716284e-15,1e-06,1.55443494755e-18,1e-06,9.14453338789e-22
1764.7,1e-09,9.99999998236e-07,1.76293706294e-15,1e-06,1.55461108049e-18,1e-06,9.1460879109e-22
1764.8,1e-09,9.99999998236e-07,1.76303696304e-15,1e-06,1.55478722342e-18,1e-06,9.14764261005e-22
1764.9,1e-09,9.99999998236e-07,1.76313686313e-15,1e-06,1.55496337631e-18,1e-06,9.14919748534e-22
1765.0,1e-09,9.99999998236e-07,1.76323676323e-15,1e-06,1.55513953917e-18,1e-06,9.1507525368e-22
1765.1,1e-09,9.99999998236e-07,1.76333666333e-15,1e-06,1.55531571201e-18,1e-06,9.15230776442e-22
1765.2,1e-09,9.99999998236e-07,1.76343656343e-15,1e-06,1.55549189482e-18,1e-06,9.15386316822e-22
1765.3,1e-09,9.99999998236e-07,1.76353646353e-15,1e-06,1.5556680876e-18,1e-06,9.15541874821e-22
1765.4,1e-09,9.99999998235e-07,1.76363636363e-15,1e-06,1.55584429036e-18,1e-06,9.15697450439e-22
1765.5,1e-09,9.99999998235e-07,1.76373626373e-15,1e-06,1.55602050309e-18,1e-06,9.15853043679e-22
1765.6,1e-09,9.99999998235e-07,1.76383616383e-15,1e-06,1.55619672578e-18,1e-06,9.1600865454e-22
1765.7,1e-09,9.99999998235e-07,1.76393606393e-15,1e-06,1.55637295846e-18,1e-06,9.16164283024e-22
1765.8,1e-09,9.99999998235e-07,1.76403596403e-15,1e-06,1.5565492011e-18,1e-06,9.16319929131e-22
1765.9,1e-09,9.99999998235e-07,1.76413586413e-15,1e-06,1.55672545372e-18,1e-06,9.16475592864e-22
1766.0,1e-09,9.99999998235e-07,1.76423576423e-15,1e-06,1.55690171631e-18,1e-06,9.16631274222e-22
1766.1,1e-09,9.99999998235e-07,1.76433566433e-15,1e-06,1.55707798887e-18,1e-06,9.16786973207e-22
1766.2,1e-09,9.99999998235e-07,1.76443556443e-15,1e-06,1.5572542714e-18,1e-06,9.1694268982e-22
1766.3,1e-09,9.99999998235e-07,1.76453546453e-15,1e-06,1.55743056391e-18,1e-06,9.17098424061e-22
1766.4,1e-09,9.99999998234e-07,1.76463536463e-15,1e-06,1.55760686638e-18,1e-06,9.17254175932e-22
1766.5,1e-09,9.99999998234e-07,1.76473526473e-15,1e-06,1.55778317884e-18,1e-06,9.17409945434e-22
1766.6,1e-09,9.99999998234e-07,1.76483516483e-15,1e-06,1.55795950126e-18,1e-06,9.17565732568e-22
1766.7,1e-09,9.99999998234e-07,1.76493506493e-15,1e-06,1.55813583365e-18,1e-06,9.17721537334e-22
1766.8,1e-09,9.99999998234e-07,1.76503496503e-15,1e-06,1.55831217602e-18,1e-06,9.17877359735e-22
1766.9,1e-09,9.99999998234e-07,1.76513486513e-15,1e-06,1.55848852836e-18,1e-06,9.18033199769e-22
1767.0,1e-09,9.99999998234e-07,1.76523476523e-15,1e-06,1.55866489067e-18,1e-06,9.1818905744e-22
1767.1,1e-09,9.99999998234e-07,1.76533466533e-15,1e-06,1.55884126296e-18,1e-06,9.18344932747e-22
1767.2,1e-09,9.99999998234e-07,1.76543456543e-15,1e-06,1.55901764521e-18,1e-06,9.18500825692e-22
1767.3,1e-09,9.99999998234e-07,1.76553446553e-15,1e-06,1.55919403744e-18,1e-06,9.18656736276e-22
1767.4,1e-09,9.99999998233e-07,1.76563436563e-15,1e-06,1.55937043965e-18,1e-06,9.188126645e-22
1767.5,1e-09,9.99999998233e-07,1.76573426573e-15,1e-06,1.55954685182e-18,1e-06,9.18968610364e-22
1767.6,1e-09,9.99999998233e-07,1.76583416583e-15,1e-06,1.55972327397e-18,1e-06,9.1912457387e-22
1767.7,1e-09,9.99999998233e-07,1.76593406593e-15,1e-06,1.55989970608e-18,1e-06,9.19280555019e-22
1767.8,1e-09,9.99999998233e-07,1.76603396603e-15,1e-06,1.56007614818e-18,1e-06,9.19436553811e-22
1767.9,1e-09,9.99999998233e-07,1.76613386613e-15,1e-06,1.56025260024e-18,1e-06,9.19592570248e-22
1768.0,1e-09,9.99999998233e-07,1.76623376623e-15,1e-06,1.56042906227e-18,1e-06,9.19748604331e-22
1768.1,1e-09,9.99999998233e-07,1.76633366633e-15,1e-06,1.56060553428e-18,1e-06,9.1990465606e-22
1768.2,1e-09,9.99999998233e-07,1.76643356643e-15,1e-06,1.56078201626e-18,1e-06,9.20060725438e-22
1768.3,1e-09,9.99999998233e-07,1.76653346653e-15,1e-06,1.56095850821e-18,1e-06,9.20216812464e-22
1768.4,1e-09,9.99999998232e-07,1.76663336663e-15,1e-06,1.56113501014e-18,1e-06,9.20372917139e-22
1768.5,1e-09,9.99999998232e-07,1.76673326673e-15,1e-06,1.56131152204e-18,1e-06,9.20529039465e-22
1768.6,1e-09,9.99999998232e-07,1.76683316683e-15,1e-06,1.56148804391e-18,1e-06,9.20685179443e-22
1768.7,1e-09,9.99999998232e-07,1.76693306693e-15,1e-06,1.56166457575e-18,1e-06,9.20841337074e-22
1768.8,1e-09,9.99999998232e-07,1.76703296703e-15,1e-06,1.56184111756e-18,1e-06,9.20997512358e-22
1768.9,1e-09,9.99999998232e-07,1.76713286713e-15,1e-06,1.56201766935e-18,1e-06,9.21153705297e-22
1769.0,1e-09,9.99999998232e-07,1.76723276723e-15,1e-06,1.56219423111e-18,1e-06,9.21309915892e-22
