time,glucose,hexokinase,glucose6phosphate,phosphoglucoisomerase,fructose6phosphate,phosphoglucoisomerase2,glucose6phosphatereversible,phosphofructokinase,fructose16biphosphate
9.0,4e-09,9.99999999964e-07,3.59638741264e-17,1e-06,1.61837186931e-22,1e-06,4.85512291973e-28,1e-06,4.85513384378e-28
9.1,4e-09,9.99999999964e-07,3.63634709096e-17,1e-06,1.65453537688e-22,1e-06,5.01876495209e-28,1e-06,5.01877636982e-28
9.2,4e-09,9.99999999963e-07,3.67630676529e-17,1e-06,1.69109847755e-22,1e-06,5.18604331487e-28,1e-06,5.18605524281e-28
9.3,4e-09,9.99999999963e-07,3.71626643562e-17,1e-06,1.72806117124e-22,1e-06,5.35699796737e-28,1e-06,5.35701042243e-28
9.4,4e-09,9.99999999962e-07,3.75622610195e-17,1e-06,1.76542345786e-22,1e-06,5.53166886889e-28,1e-06,5.53168186834e-28
9.5,4e-09,9.99999999962e-07,3.79618576429e-17,1e-06,1.80318533734e-22,1e-06,5.71009597871e-28,1e-06,5.71010954022e-28
9.6,4e-09,9.99999999962e-07,3.83614542264e-17,1e-06,1.8413468096e-22,1e-06,5.89231925611e-28,1e-06,5.89233339772e-28
9.7,4e-09,9.99999999961e-07,3.87610507698e-17,1e-06,1.87990787455e-22,1e-06,6.07837866038e-28,1e-06,6.07839340049e-28
9.8,4e-09,9.99999999961e-07,3.91606472734e-17,1e-06,1.91886853213e-22,1e-06,6.26831415078e-28,1e-06,6.26832950819e-28
9.9,4e-09,9.9999999996e-07,3.95602437369e-17,1e-06,1.95822878223e-22,1e-06,6.46216568656e-28,1e-06,6.46218168047e-28
10.0,4e-09,9.9999999996e-07,3.99598401605e-17,1e-06,1.9979886248e-22,1e-06,6.65997322697e-28,1e-06,6.65998987696e-28
10.1,4e-09,9.9999999996e-07,4.03594365441e-17,1e-06,2.03814805973e-22,1e-06,6.86177673126e-28,1e-06,6.8617940573e-28
10.2,4e-09,9.99999999959e-07,4.07590328878e-17,1e-06,2.07870708697e-22,1e-06,7.06761615866e-28,1e-06,7.06763418114e-28
10.3,4e-09,9.99999999959e-07,4.11586291915e-17,1e-06,2.11966570642e-22,1e-06,7.2775314684e-28,1e-06,7.2775502081e-28
10.4,4e-09,9.99999999958e-07,4.15582254553e-17,1e-06,2.161023918e-22,1e-06,7.49156261968e-28,1e-06,7.49158209781e-28
10.5,4e-09,9.99999999958e-07,4.19578216791e-17,1e-06,2.20278172164e-22,1e-06,7.70974957173e-28,1e-06,7.70976980989e-28
10.6,4e-09,9.99999999958e-07,4.23574178629e-17,1e-06,2.24493911725e-22,1e-06,7.93213228375e-28,1e-06,7.93215330396e-28
10.7,4e-09,9.99999999957e-07,4.27570140068e-17,1e-06,2.28749610476e-22,1e-06,8.15875071491e-28,1e-06,8.15877253964e-28
10.8,4e-09,9.99999999957e-07,4.31566101107e-17,1e-06,2.33045268408e-22,1e-06,8.38964482442e-28,1e-06,8.38966747654e-28
10.9,4e-09,9.99999999956e-07,4.35562061747e-17,1e-06,2.37380885514e-22,1e-06,8.62485457146e-28,1e-06,8.62487807426e-28
11.0,4e-09,9.99999999956e-07,4.39558021987e-17,1e-06,2.41756461785e-22,1e-06,8.86441991517e-28,1e-06,8.86444429241e-28
11.1,4e-09,9.99999999956e-07,4.43553981827e-17,1e-06,2.46171997213e-22,1e-06,9.10838081474e-28,1e-06,9.10840609059e-28
11.2,4e-09,9.99999999955e-07,4.47549941268e-17,1e-06,2.50627491791e-22,1e-06,9.35677722932e-28,1e-06,9.35680342838e-28
11.3,4e-09,9.99999999955e-07,4.51545900309e-17,1e-06,2.5512294551e-22,1e-06,9.60964911804e-28,1e-06,9.60967626539e-28
11.4,4e-09,9.99999999954e-07,4.55541858951e-17,1e-06,2.59658358362e-22,1e-06,9.86703644005e-28,1e-06,9.8670645612e-28
11.5,4e-09,9.99999999954e-07,4.59537817193e-17,1e-06,2.64233730339e-22,1e-06,1.01289791545e-27,1e-06,1.01290082754e-27
11.6,4e-09,9.99999999954e-07,4.63533775035e-17,1e-06,2.68849061434e-22,1e-06,1.03955172204e-27,1e-06,1.03955473675e-27
11.7,4e-09,9.99999999953e-07,4.67529732478e-17,1e-06,2.73504351637e-22,1e-06,1.0666690597e-27,1e-06,1.06667217972e-27
11.8,4e-09,9.99999999953e-07,4.71525689522e-17,1e-06,2.78199600942e-22,1e-06,1.09425392434e-27,1e-06,1.0942571524e-27
11.9,4e-09,9.99999999952e-07,4.75521646165e-17,1e-06,2.8293480934e-22,1e-06,1.12231031186e-27,1e-06,1.12231365075e-27
