time,hexokinase,glucose,g6p,phosphoglucoisomerase,phosphoglucoisomerase2,f6p,phosphofructokinase,f16p,fructosephosphatealdolase,fructosephosphatealdolase2,g3p,dhp,g6pdehydrogenase,pg6
4.1,1e-09,9.99999999996e-07,4.09590407911e-18,1e-09,1e-09,8.39660332777e-27,1e-09,1.1475357893e-35,1e-09,1e-09,1.17622418476e-44,1.17622418476e-44,1e-09,8.39660335072e-27
4.2,1e-09,9.99999999996e-07,4.19580417818e-18,1e-09,1e-09,8.8111887372e-27,1e-09,1.2335664245e-35,1e-09,1e-09,1.29524474654e-44,1.29524474654e-44,1e-09,8.81118876187e-27
4.3,1e-09,9.99999999996e-07,4.29570427723e-18,1e-09,1e-09,9.23576415636e-27,1e-09,1.32379286383e-35,1e-09,1e-09,1.42307732954e-44,1.42307732954e-44,1e-09,9.23576418284e-27
4.4,1e-09,9.99999999996e-07,4.39560437626e-18,1e-09,1e-09,9.67032958526e-27,1e-09,1.4183150074e-35,1e-09,1e-09,1.56014650917e-44,1.56014650917e-44,1e-09,9.67032961363e-27
4.5,1e-09,9.99999999996e-07,4.49550447527e-18,1e-09,1e-09,1.01148850239e-26,1e-09,1.51723275529e-35,1e-09,1e-09,1.70688685085e-44,1.70688685085e-44,1e-09,1.01148850542e-26
4.6,1e-09,9.99999999995e-07,4.59540457427e-18,1e-09,1e-09,1.05694304722e-26,1e-09,1.6206460076e-35,1e-09,1e-09,1.86374291003e-44,1.86374291003e-44,1e-09,1.05694305046e-26
4.7,1e-09,9.99999999995e-07,4.69530467324e-18,1e-09,1e-09,1.10339659303e-26,1e-09,1.72865466444e-35,1e-09,1e-09,2.03116923215e-44,2.03116923215e-44,1e-09,1.10339659649e-26
4.8,1e-09,9.99999999995e-07,4.79520477219e-18,1e-09,1e-09,1.1508491398e-26,1e-09,1.8413586259e-35,1e-09,1e-09,2.20963035266e-44,2.20963035266e-44,1e-09,1.15084914349e-26
4.9,1e-09,9.99999999995e-07,4.89510487112e-18,1e-09,1e-09,1.19930068755e-26,1e-09,1.95885779207e-35,1e-09,1e-09,2.39960079704e-44,2.39960079704e-44,1e-09,1.19930069147e-26
5.0,1e-09,9.99999999995e-07,4.99500497003e-18,1e-09,1e-09,1.24875123627e-26,1e-09,2.08125206305e-35,1e-09,1e-09,2.60156508076e-44,2.60156508076e-44,1e-09,1.24875124043e-26
5.1,1e-09,9.99999999995e-07,5.09490506892e-18,1e-09,1e-09,1.29920078595e-26,1e-09,2.20864133893e-35,1e-09,1e-09,2.81601770929e-44,2.81601770929e-44,1e-09,1.29920079037e-26
5.2,1e-09,9.99999999995e-07,5.19480516779e-18,1e-09,1e-09,1.35064933661e-26,1e-09,2.34112551983e-35,1e-09,1e-09,3.04346317815e-44,3.04346317815e-44,1e-09,1.35064934129e-26
5.3,1e-09,9.99999999995e-07,5.29470526664e-18,1e-09,1e-09,1.40309688823e-26,1e-09,2.47880450582e-35,1e-09,1e-09,3.28441597282e-44,3.28441597282e-44,1e-09,1.40309689319e-26
5.4,1e-09,9.99999999995e-07,5.39460536547e-18,1e-09,1e-09,1.45654344082e-26,1e-09,2.62177819701e-35,1e-09,1e-09,3.53940056883e-44,3.53940056883e-44,1e-09,1.45654344606e-26
5.5,1e-09,9.99999999995e-07,5.49450546429e-18,1e-09,1e-09,1.51098899437e-26,1e-09,2.77014649349e-35,1e-09,1e-09,3.80895143169e-44,3.80895143169e-44,1e-09,1.51098899991e-26
