time,hexokinase,glucose,glucose6phosphate
835.2,1e-09,9.99999999165e-07,8.34365634365e-16
835.3,1e-09,9.99999999165e-07,8.34465534465e-16
835.4,1e-09,9.99999999165e-07,8.34565434565e-16
835.5,1e-09,9.99999999165e-07,8.34665334665e-16
835.6,1e-09,9.99999999165e-07,8.34765234765e-16
835.7,1e-09,9.99999999165e-07,8.34865134865e-16
835.8,1e-09,9.99999999165e-07,8.34965034965e-16
835.9,1e-09,9.99999999165e-07,8.35064935065e-16
836.0,1e-09,9.99999999164e-07,8.35164835164e-16
836.1,1e-09,9.99999999164e-07,8.35264735264e-16
836.2,1e-09,9.99999999164e-07,8.35364635364e-16
836.3,1e-09,9.99999999164e-07,8.35464535464e-16
836.4,1e-09,9.99999999164e-07,8.35564435564e-16
836.5,1e-09,9.99999999164e-07,8.35664335664e-16
836.6,1e-09,9.99999999164e-07,8.35764235764e-16
836.7,1e-09,9.99999999164e-07,8.35864135864e-16
836.8,1e-09,9.99999999164e-07,8.35964035964e-16
836.9,1e-09,9.99999999164e-07,8.36063936064e-16
837.0,1e-09,9.99999999163e-07,8.36163836163e-16
837.1,1e-09,9.99999999163e-07,8.36263736263e-16
837.2,1e-09,9.99999999163e-07,8.36363636363e-16
837.3,1e-09,9.99999999163e-07,8.36463536463e-16
837.4,1e-09,9.99999999163e-07,8.36563436563e-16
837.5,1e-09,9.99999999163e-07,8.36663336663e-16
837.6,1e-09,9.99999999163e-07,8.36763236763e-16
837.7,1e-09,9.99999999163e-07,8.36863136863e-16
837.8,1e-09,9.99999999163e-07,8.36963036963e-16
837.9,1e-09,9.99999999163e-07,8.37062937063e-16
838.0,1e-09,9.99999999162e-07,8.37162837162e-16
838.1,1e-09,9.99999999162e-07,8.37262737262e-16
838.2,1e-09,9.99999999162e-07,8.37362637362e-16
838.3,1e-09,9.99999999162e-07,8.37462537462e-16
838.4,1e-09,9.99999999162e-07,8.37562437562e-16
838.5,1e-09,9.99999999162e-07,8.37662337662e-16
838.6,1e-09,9.99999999162e-07,8.37762237762e-16
838.7,1e-09,9.99999999162e-07,8.37862137862e-16
838.8,1e-09,9.99999999162e-07,8.37962037962e-16
838.9,1e-09,9.99999999162e-07,8.38061938062e-16
839.0,1e-09,9.99999999161e-07,8.38161838161e-16
839.1,1e-09,9.99999999161e-07,8.38261738261e-16
839.2,1e-09,9.99999999161e-07,8.38361638361e-16
839.3,1e-09,9.99999999161e-07,8.38461538461e-16
839.4,1e-09,9.99999999161e-07,8.38561438561e-16
839.5,1e-09,9.99999999161e-07,8.38661338661e-16
839.6,1e-09,9.99999999161e-07,8.38761238761e-16
839.7,1e-09,9.99999999161e-07,8.38861138861e-16
839.8,1e-09,9.99999999161e-07,8.38961038961e-16
839.9,1e-09,9.99999999161e-07,8.39060939061e-16
840.0,1e-09,9.9999999916e-07,8.3916083916e-16
