time,Glucose,Hexokinase,Complex_G_H
432.0,1e-06,1.00030244573e-06,1.29591605104e-16
433.0,1e-06,1.00030314594e-06,1.29891566202e-16
434.0,1e-06,1.00030384615e-06,1.30191527209e-16
435.0,1e-06,1.00030454636e-06,1.30491488126e-16
436.0,1e-06,1.00030524658e-06,1.30791448954e-16
437.0,1e-06,1.00030594679e-06,1.31091409691e-16
438.0,1e-06,1.00030664701e-06,1.31391370339e-16
439.0,1e-06,1.00030734722e-06,1.31691330897e-16
440.0,1e-06,1.00030804744e-06,1.31991291365e-16
441.0,1e-06,1.00030874765e-06,1.32291251743e-16
442.0,1e-06,1.00030944787e-06,1.32591212031e-16
443.0,1e-06,1.00031014809e-06,1.32891172229e-16
444.0,1e-06,1.0003108483e-06,1.33191132337e-16
445.0,1e-06,1.00031154852e-06,1.33491092356e-16
446.0,1e-06,1.00031224874e-06,1.33791052284e-16
447.0,1e-06,1.00031294896e-06,1.34091012123e-16
448.0,1e-06,1.00031364918e-06,1.34390971871e-16
449.0,1e-06,1.0003143494e-06,1.3469093153e-16
450.0,1e-06,1.00031504962e-06,1.34990891099e-16
451.0,1e-06,1.00031574984e-06,1.35290850578e-16
452.0,1e-06,1.00031645006e-06,1.35590809967e-16
453.0,1e-06,1.00031715028e-06,1.35890769267e-16
454.0,1e-06,1.0003178505e-06,1.36190728476e-16
455.0,1e-06,1.00031855073e-06,1.36490687596e-16
456.0,1e-06,1.00031925095e-06,1.36790646625e-16
457.0,1e-06,1.00031995117e-06,1.37090605565e-16
458.0,1e-06,1.0003206514e-06,1.37390564415e-16
459.0,1e-06,1.00032135162e-06,1.37690523175e-16
460.0,1e-06,1.00032205185e-06,1.37990481845e-16
461.0,1e-06,1.00032275207e-06,1.38290440425e-16
462.0,1e-06,1.0003234523e-06,1.38590398915e-16
463.0,1e-06,1.00032415253e-06,1.38890357315e-16
464.0,1e-06,1.00032485275e-06,1.39190315626e-16
465.0,1e-06,1.00032555298e-06,1.39490273846e-16
466.0,1e-06,1.00032625321e-06,1.39790231977e-16
