time,Glucose,Hexokinase,Complex_G_H
1168.0,1e-06,3.00245380298e-06,1.05101601855e-15
1169.0,1e-06,3.0024559047e-06,1.05191570354e-15
1170.0,1e-06,3.00245800642e-06,1.05281538826e-15
1171.0,1e-06,3.00246010814e-06,1.05371507271e-15
1172.0,1e-06,3.00246220986e-06,1.05461475689e-15
1173.0,1e-06,3.00246431158e-06,1.05551444081e-15
1174.0,1e-06,3.00246641331e-06,1.05641412445e-15
1175.0,1e-06,3.00246851504e-06,1.05731380783e-15
1176.0,1e-06,3.00247061677e-06,1.05821349093e-15
1177.0,1e-06,3.0024727185e-06,1.05911317377e-15
1178.0,1e-06,3.00247482023e-06,1.06001285634e-15
1179.0,1e-06,3.00247692196e-06,1.06091253864e-15
1180.0,1e-06,3.0024790237e-06,1.06181222067e-15
1181.0,1e-06,3.00248112543e-06,1.06271190243e-15
1182.0,1e-06,3.00248322717e-06,1.06361158392e-15
1183.0,1e-06,3.00248532891e-06,1.06451126514e-15
1184.0,1e-06,3.00248743065e-06,1.06541094609e-15
1185.0,1e-06,3.00248953239e-06,1.06631062678e-15
1186.0,1e-06,3.00249163413e-06,1.06721030719e-15
1187.0,1e-06,3.00249373588e-06,1.06810998734e-15
1188.0,1e-06,3.00249583763e-06,1.06900966721e-15
1189.0,1e-06,3.00249793937e-06,1.06990934682e-15
1190.0,1e-06,3.00250004112e-06,1.07080902616e-15
1191.0,1e-06,3.00250214287e-06,1.07170870523e-15
1192.0,1e-06,3.00250424463e-06,1.07260838403e-15
1193.0,1e-06,3.00250634638e-06,1.07350806256e-15
1194.0,1e-06,3.00250844813e-06,1.07440774082e-15
1195.0,1e-06,3.00251054989e-06,1.07530741881e-15
1196.0,1e-06,3.00251265165e-06,1.07620709653e-15
1197.0,1e-06,3.00251475341e-06,1.07710677399e-15
1198.0,1e-06,3.00251685517e-06,1.07800645117e-15
1199.0,1e-06,3.00251895693e-06,1.07890612809e-15
1200.0,1e-06,3.0025210587e-06,1.07980580473e-15
1201.0,1e-06,3.00252316046e-06,1.08070548111e-15
1202.0,1e-06,3.00252526223e-06,1.08160515722e-15
1203.0,1e-06,3.002527364e-06,1.08250483306e-15
1204.0,1e-06,3.00252946577e-06,1.08340450863e-15
1205.0,1e-06,3.00253156754e-06,1.08430418393e-15
1206.0,1e-06,3.00253366931e-06,1.08520385896e-15
1207.0,1e-06,3.00253577109e-06,1.08610353372e-15
1208.0,1e-06,3.00253787286e-06,1.08700320821e-15
1209.0,1e-06,3.00253997464e-06,1.08790288244e-15
1210.0,1e-06,3.00254207642e-06,1.08880255639e-15
1211.0,1e-06,3.0025441782e-06,1.08970223008e-15
1212.0,1e-06,3.00254627998e-06,1.0906019035e-15
1213.0,1e-06,3.00254838176e-06,1.09150157664e-15
1214.0,1e-06,3.00255048355e-06,1.09240124952e-15
1215.0,1e-06,3.00255258533e-06,1.09330092213e-15
1216.0,1e-06,3.00255468712e-06,1.09420059447e-15
1217.0,1e-06,3.00255678891e-06,1.09510026654e-15
1218.0,1e-06,3.0025588907e-06,1.09599993834e-15
1219.0,1e-06,3.00256099249e-06,1.09689960988e-15
1220.0,1e-06,3.00256309429e-06,1.09779928114e-15
1221.0,1e-06,3.00256519608e-06,1.09869895214e-15
1222.0,1e-06,3.00256729788e-06,1.09959862286e-15
1223.0,1e-06,3.00256939967e-06,1.10049829332e-15
1224.0,1e-06,3.00257150147e-06,1.1013979635e-15
1225.0,1e-06,3.00257360327e-06,1.10229763342e-15
1226.0,1e-06,3.00257570508e-06,1.10319730307e-15
1227.0,1e-06,3.00257780688e-06,1.10409697245e-15
1228.0,1e-06,3.00257990869e-06,1.10499664156e-15
