time,GluGA3P,GA3PDHAP,DHAPG3P,Glu,GA3P,DHAP,G3P
1786.3,4.06e-05,1.5e-06,0.05,5.13893991318e-07,4.2778326803e-07,1.06887660186e-09,5.72538640507e-08
1786.4,4.06e-05,1.5e-06,0.05,5.13874839289e-07,4.27796808745e-07,1.0689110775e-09,5.72594408881e-08
1786.5,4.06e-05,1.5e-06,0.05,5.13855687974e-07,4.2781034857e-07,1.06894555088e-09,5.72650179054e-08
1786.6,4.06e-05,1.5e-06,0.05,5.13836537373e-07,4.27823887503e-07,1.068980022e-09,5.72705951025e-08
1786.7,4.06e-05,1.5e-06,0.05,5.13817387485e-07,4.27837425544e-07,1.06901449086e-09,5.72761724795e-08
1786.8,4.06e-05,1.5e-06,0.05,5.13798238311e-07,4.27850962695e-07,1.06904895747e-09,5.72817500363e-08
1786.9,4.06e-05,1.5e-06,0.05,5.13779089851e-07,4.27864498954e-07,1.06908342181e-09,5.72873277729e-08
1787.0,4.06e-05,1.5e-06,0.05,5.13759942105e-07,4.27878034322e-07,1.06911788389e-09,5.72929056894e-08
1787.1,4.06e-05,1.5e-06,0.05,5.13740795072e-07,4.27891568799e-07,1.06915234372e-09,5.72984837856e-08
1787.2,4.06e-05,1.5e-06,0.05,5.13721648752e-07,4.27905102385e-07,1.06918680129e-09,5.73040620616e-08
1787.3,4.06e-05,1.5e-06,0.05,5.13702503147e-07,4.27918635079e-07,1.06922125659e-09,5.73096405174e-08
1787.4,4.06e-05,1.5e-06,0.05,5.13683358254e-07,4.27932166883e-07,1.06925570964e-09,5.7315219153e-08
1787.5,4.06e-05,1.5e-06,0.05,5.13664214076e-07,4.27945697796e-07,1.06929016043e-09,5.73207979683e-08
1787.6,4.06e-05,1.5e-06,0.05,5.1364507061e-07,4.27959227817e-07,1.06932460896e-09,5.73263769633e-08
1787.7,4.06e-05,1.5e-06,0.05,5.13625927858e-07,4.27972756948e-07,1.06935905524e-09,5.73319561381e-08
1787.8,4.06e-05,1.5e-06,0.05,5.1360678582e-07,4.27986285188e-07,1.06939349925e-09,5.73375354926e-08
1787.9,4.06e-05,1.5e-06,0.05,5.13587644495e-07,4.27999812537e-07,1.06942794101e-09,5.73431150267e-08
1788.0,4.06e-05,1.5e-06,0.05,5.13568503883e-07,4.28013338996e-07,1.06946238051e-09,5.73486947406e-08
1788.1,4.06e-05,1.5e-06,0.05,5.13549363985e-07,4.28026864563e-07,1.06949681775e-09,5.73542746342e-08
1788.2,4.06e-05,1.5e-06,0.05,5.135302248e-07,4.2804038924e-07,1.06953125273e-09,5.73598547074e-08
1788.3,4.06e-05,1.5e-06,0.05,5.13511086328e-07,4.28053913026e-07,1.06956568545e-09,5.73654349602e-08
1788.4,4.06e-05,1.5e-06,0.05,5.1349194857e-07,4.28067435922e-07,1.06960011592e-09,5.73710153928e-08
1788.5,4.06e-05,1.5e-06,0.05,5.13472811524e-07,4.28080957927e-07,1.06963454413e-09,5.73765960049e-08
1788.6,4.06e-05,1.5e-06,0.05,5.13453675192e-07,4.28094479041e-07,1.06966897008e-09,5.73821767967e-08
1788.7,4.06e-05,1.5e-06,0.05,5.13434539573e-07,4.28107999265e-07,1.06970339378e-09,5.7387757768e-08
1788.8,4.06e-05,1.5e-06,0.05,5.13415404668e-07,4.28121518598e-07,1.06973781521e-09,5.7393338919e-08
1788.9,4.06e-05,1.5e-06,0.05,5.13396270475e-07,4.28135037041e-07,1.06977223439e-09,5.73989202496e-08
1789.0,4.06e-05,1.5e-06,0.05,5.13377136996e-07,4.28148554593e-07,1.06980665132e-09,5.74045017597e-08
1789.1,4.06e-05,1.5e-06,0.05,5.13358004229e-07,4.28162071255e-07,1.06984106598e-09,5.74100834494e-08
1789.2,4.06e-05,1.5e-06,0.05,5.13338872176e-07,4.28175587027e-07,1.06987547839e-09,5.74156653186e-08
1789.3,4.06e-05,1.5e-06,0.05,5.13319740836e-07,4.28189101909e-07,1.06990988854e-09,5.74212473674e-08
1789.4,4.06e-05,1.5e-06,0.05,5.13300610208e-07,4.282026159e-07,1.06994429644e-09,5.74268295957e-08
1789.5,4.06e-05,1.5e-06,0.05,5.13281480294e-07,4.28216129001e-07,1.06997870207e-09,5.74324120035e-08
1789.6,4.06e-05,1.5e-06,0.05,5.13262351092e-07,4.28229641211e-07,1.07001310546e-09,5.74379945908e-08
1789.7,4.06e-05,1.5e-06,0.05,5.13243222604e-07,4.28243152532e-07,1.07004750658e-09,5.74435773576e-08
1789.8,4.06e-05,1.5e-06,0.05,5.13224094828e-07,4.28256662962e-07,1.07008190545e-09,5.74491603039e-08
1789.9,4.06e-05,1.5e-06,0.05,5.13204967765e-07,4.28270172503e-07,1.07011630206e-09,5.74547434296e-08
1790.0,4.06e-05,1.5e-06,0.05,5.13185841415e-07,4.28283681153e-07,1.07015069642e-09,5.74603267348e-08
