time,GlucoseGA3P,GA3PDHAP,DHAPG3P,G3PGlycerol,GA3PPyruvate,PyruvateAlphaAcetolactate,AlphaAcetolactateDiacetyl,DiacetylAcetoin,AcetoinBDO,PyruvateAcetylaldehyde,AcetylaldehydeAcetoin,AcetylaldehydeAcetate,AcetateEthanol,Glucose,GA3P,DHAP,G3P,Glycerol,Pyruvate,AlphaAcetolactate,Diacetyl,Acetoin,BDO,Acetylaldehyde,Acetate,Ethanol
23.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.001725e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.00095244026887,1.66666666667e+99,0.000930183234692,4.75541193208e-05,2.84156215229e-07,1.66666666667e+99,7.018874372e-05,6.08896789685e-09,6.47616782152e-09,7.43630113818e-12,1.37892334615e-05,1.93431158624e-07,0.000274503434466
24.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0018e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.00095038894394,1.66666666667e+99,0.000971471144418,5.02358017383e-05,3.14564072053e-07,1.66666666667e+99,7.33334405363e-05,6.54004162035e-09,7.02256065e-09,8.35505110794e-12,1.37892334913e-05,1.93431170447e-07,0.000287403273472
25.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.001875e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000948339019204,1.66666666667e+99,0.00101274358442,5.29312988143e-05,3.46626996926e-07,1.66666666667e+99,7.64783361638e-05,6.99992921471e-09,7.59675208603e-09,9.35009008855e-12,1.37892335039e-05,1.93431175419e-07,0.000300303112503
26.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00195e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000946290497837,1.66666666667e+99,0.00105400163931,5.56395195351e-05,3.80351377932e-07,1.66666666667e+99,7.9623430601e-05,7.46810896054e-09,8.19926148956e-09,1.0425239145e-11,1.37892335092e-05,1.9343117751e-07,0.000313202951544
27.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.002025e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000944243383028,1.66666666667e+99,0.0010952462832,5.83594840825e-05,4.15742944991e-07,1.66666666667e+99,8.27687238466e-05,7.94409010859e-09,8.83057718173e-09,1.15843879286e-11,1.37892335114e-05,1.93431178389e-07,0.00032610279059
28.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0021e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000942197677967,1.66666666667e+99,0.00113647839418,6.10903092096e-05,4.52806836126e-07,1.66666666667e+99,8.59142158991e-05,8.42741104132e-09,9.49115828738e-09,1.28314905773e-11,1.37892335123e-05,1.93431178759e-07,0.000339002629637
29.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.002175e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000940153385858,1.66666666667e+99,0.00117769876662,6.38311959488e-05,4.91547655174e-07,1.66666666667e+99,8.90599067569e-05,8.91763754358e-09,1.01814364682e-08,1.4170561859e-11,1.37892335127e-05,1.93431178914e-07,0.000351902468685
30.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00225e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000938110509907,1.66666666667e+99,0.00121890812149,6.65814192201e-05,5.31969522306e-07,1.66666666667e+99,9.22057964186e-05,9.41436117593e-09,1.0901817553e-08,1.56056735442e-11,1.37892335129e-05,1.93431178979e-07,0.000364802307733
31.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.002325e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000936069053332,1.66666666667e+99,0.00126010711511,6.93403189956e-05,5.74076118426e-07,1.66666666667e+99,9.53518848828e-05,9.91719774453e-09,1.16526830712e-08,1.71409509939e-11,1.3789233513e-05,1.93431179007e-07,0.000377702146781
32.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0024e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000934029019355,1.66666666667e+99,0.00130129634675,7.21072927487e-05,6.17870724355e-07,1.66666666667e+99,9.84981721481e-05,1.04257858619e-08,1.24343916956e-08,1.87805699495e-11,1.3789233513e-05,1.93431179019e-07,0.00039060198583
33.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.002475e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.00093199041121,1.66666666667e+99,0.001342476365,7.48817889713e-05,6.63356255561e-07,1.66666666667e+99,0.000101644658213,1.0939785593e-08,1.32472805986e-08,2.05287535141e-11,1.3789233513e-05,1.93431179023e-07,0.000403501824878
34.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00255e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000929953232135,1.66666666667e+99,0.00138364767336,7.76633015797e-05,7.1053529303e-07,1.66666666667e+99,0.000104791343076,1.14588771818e-08,1.40916667293e-08,2.23897693127e-11,1.3789233513e-05,1.93431179025e-07,0.000416401663926
